Code,Description,Sub-description
0,Cloud development not observed or not observable,Characteristic change of the state of sky during the past hour
1,Clouds generally dissolving or becoming less developed,Characteristic change of the state of sky during the past hour
2,State of sky on the whole unchanged,Characteristic change of the state of sky during the past hour
3,Clouds generally forming or developing,Characteristic change of the state of sky during the past hour
4,"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes",
5,Haze,
6,"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation",
7,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of sea stations and coastal stations, blowing spray at the station",
8,"Well-developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the same time of observation, but no duststorm or sandstorm",
9,"Duststorm or sandstorm within sight at the time of observation, or at the station during the preceding hour",
10,Mist,
11,Patches,"shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea"
12,More or less continuous,"shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea"
13,"Lightning visible, no thunder heard",
14,"Precipitation within sight, not reaching the ground or the surface of the sea",
15,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station",
16,"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station",
17,"Thunderstorm, but no precipitation at the time of observation",
18,Squalls,at or within sight of the station during the preceding hour or at the time of observation
19,Funnel cloud(s),at or within sight of the station during the preceding hour or at the time of observation
20,Drizzle (not freezing) or snow grains,not falling as shower(s)
21,Rain (not freezing),not falling as shower(s)
22,Snow,not falling as shower(s)
23,Rain and snow or ice pellets,not falling as shower(s)
24,Freezing drizzle or freezing rain,not falling as shower(s)
25,Shower(s) of rain,not falling as shower(s)
26,"Shower(s) of snow, or of rain and snow",
27,"Shower(s) of hail, or of rain and hail",
28,Fog or ice fog,
29,Thunderstorm (with or without precipitation),
30,Slight or moderate duststorm or sandstorm,has decreased during the preceding hour
31,Slight or moderate duststorm or sandstorm,no appreciable change during the preceding hour
32,Slight or moderate duststorm or sandstorm,has begun or has increased during the preceding hour
33,Severe duststorm or sandstorm,has decreased during the preceding hour
34,Severe duststorm or sandstorm,no appreciable change during the preceding hour
35,Severe duststorm or sandstorm,has begun or has increased during the preceding hour
36,Slight or moderate drifting snow,generally low (below eye level)
37,Heavy drifting snow,generally low (below eye level)
38,Slight or moderate blowing snow,generally high (above eye level)
39,Heavy blowing snow,generally high (above eye level)
40,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer",
41,Fog or ice fog in patches,
42,"Fog or ice fog, sky visible",has become thinner during the preceding hour
43,"Fog or ice fog, sky invisible",has become thinner during the preceding hour
44,"Fog or ice fog, sky visible",no appreciable change during the preceding hour
45,"Fog or ice fog, sky invisible",no appreciable change during the preceding hour
46,"Fog or ice fog, sky visible",has begun or has become thicker during the preceding hour
47,"Fog or ice fog, sky invisible",has begun or has become thicker during the preceding hour
48,"Fog, depositing rime, sky visible",
49,"Fog, depositing rime, sky invisible",
50,"Drizzle, not freezing, intermittent",slight at time of observation
51,"Drizzle, not freezing, continuous",slight at time of observation
52,"Drizzle, not freezing, intermittent",moderate at time of observation
53,"Drizzle, not freezing, continuous",moderate at time of observation
54,"Drizzle, not freezing, intermittent",heavy (dense) at time of observation
55,"Drizzle, not freezing, continuous",heavy (dense) at time of observation
56,"Drizzle, freezing, slight",
57,"Drizzle, freezing, moderate or heavy (dense)",
58,"Drizzle and rain, slight",
59,"Drizzle and rain, moderate or heavy",
60,"Rain, not freezing, intermittent",slight at time of observation
61,"Rain, not freezing, continuous",slight at time of observation
62,"Rain, not freezing, intermittent",moderate at time of observation
63,"Rain, not freezing, continuous",moderate at time of observation
64,"Rain, not freezing, intermittent",heavy at time of observation
65,"Rain, not freezing, continuous",heavy at time of observation
